11799 - Aagaard, Mikkel
12729 - Andren, Viktor
6511 - Andreoff, Andy
30071 - Andrews, Chris
9218 - Andrighetto, Sven
11093 - Andrlik, Tomas
8513 - Aneloski, Bryce
11806 - Ang, Jonathan
1739 - Angelidis, Mike
2145 - Anisimov, Artem
2448 - Ankert, Torsten
7078 - Anthony, Steven
11255 - Antonen, Joose
879 - Antonietti, Benjamin
8581 - Antonietti, Eliot
20 - Antropov, Nik
3040 - Anttila, Marko
9648 - Appleby, Ken
11807 - Aquin, Pascal
11808 - Archambault, Guillaume
7133 - Archambault, Olivier
6281 - Archibald, Darren
12352 - Archibald, Josh
8780 - Arcobello, Mark
10468 - Arell, Niklas
3043 - Arendt, Ronny
12471 - Argento, Domenico
11659 - Arkiomaa, Eetu-Ville
2560 - Arlbrandt, Pär
11615 - Armalis, Mantas
7325 - Armia, Joel
11809 - Armour, Garrett
5634 - Armstrong, John
11570 - Arnold, Bill
12741 - Arnolds, Leon
6031 - Aronson, Taylor
11140 - Aronsson, Emil
12588 - Aronsson, Victor
6756 - Arseneau, Vincent
11810 - Artemov, Artem
9340 - Arvidsson, Viktor
6118 - Ashton, Carter
1443 - Ask, Morten
11175 - Askew, Cameron
10322 - Åslin, David
1461 - Åslund, Per
12437 - Asplund, Rasmus
8593 - Asplund, Turo
8953 - Ast, Anthony
9446 - Åsten, Micke
7764 - Athanasiou, Andreas
8740 - Atkinson, Cam
8954 - Atwal, Arvin
10993 - Aubé, Frédéric
10125 - Aubé-Kubel, Nicolas
10055 - Aubin, Brent
4460 - Aubin, Mathieu
6965 - Aubry, Louis-Marc
11811 - Aucoin, Emmanuel
1210 - Aucoin, Keith
9650 - Audette, Daniel
10025 - Auger, Jérémy
9006 - Auger, Justin
9226 - Auger, Sébastien
5525 - Augsburger, Gaëtan
8618 - Augustin, Jeremias
900 - Aulie, Keith
8014 - Aulin, Jared
3050 - Aus den Birken, Danny
6357 - Austin, Brady
11253 - Auvinen, Henri
9450 - Auvitu, Yohann
10977 - Avon, Julien
1464 - Axelsson, Anton
2535 - Axelsson, Dick
10133 - Ayotte, Mathieu
3052 - Azzaroni, Marco
9886 - Babintsev, Sam
10778 - Babych, Cal
8427 - Bachman, Richard
5667 - Back, René
1373 - Backes, David
5387 - Backlund, Mikael
8456 - Backman, Sean
3057 - Backman, Simon
11637 - Backström, Gustav
1431 - Backstrom, Nicklas
3058 - Backstrom, Niklas
9677 - Baddock, Brandon
11812 - Badenhorst, Ruan
12677 - Bader, Noel
11184 - Baer, Alec
7607 - Baertschi, Sven
2187 - Bagnall, Drew
9992 - Bahl, Julien
12297 - Baier, Eric
11515 - Bail, Marek
12525 - Bailey, Casey
4438 - Bailey, Josh
9875 - Bailey, Justin
12329 - Bailey, Matt
8837 - Baillie, Tyson
10933 - Baird, Mike
10780 - Bajkov, Patrick
12496 - Bakker, Shane
11761 - Bakos, Martin
2751 - Balan, Stanislav
12688 - Balazs, Sebok
12640 - Balcers, Rudolfs
11110 - Baldaev, Victor
6196 - Baldwin, Corbin
12345 - Balisy, Chase
1101 - Ballard, Keith
11813 - Balmas, Mitchell
8703 - Balmelli, Lukas
10303 - Baltisberger, Chris
10305 - Baltisberger, Phil
11814 - Baltram, Florian
3061 - Banasik, Jacek
5888 - Bancks, Carter
12604 - Bandiera, Patrick
7394 - Bång, Daniel
9105 - Baptiste, Nicholas
12393 - Baranek, Marek
1765 - Baranka, Ivan
10049 - Barbashev, Ivan
6946 - Barberio, Mark
11815 - Bargar, Blake
40 - Barinka, Michal
9459 - Barkov, Aleksander
11816 - Barré-Boulet, Alex
5857 - Barrie, Tyson
11817 - Barron, Travis
3067 - Barta, Alexander
3068 - Barta, Bjorn
8651 - Barta, Michal
11543 - Bartejs, Tomas
3070 - Bartek, Martin
11818 - Barter, Jake
8413 - Bartkowski, Matt
7177 - Bartley, Victor
9524 - Barton, Jakub
8904 - Bartosak, Patrik
46 - Bartovic, Milan
5478 - Bartschi, Deny
5740 - Bärtschi, Patrik
2223 - Bartulis, Oskars
10849 - Barwell, Jesse
10753 - Barzal, Mathew
2114 - Bass, Cody
3072 - Bassen, Chad
11819 - Bast, Spencer
3271 - Bastian, Nathan
1503 - Bastiansen, Anders
5575 - Bastl, Mark
9115 - Bateman, Adam
30212 - Bates, Matt
11151 - Bauer, Lane
9861 - Bauman, Chadd
8819 - Bauml, Kohl
3075 - Baxmann, Jens
1334 - Bayda, Ryan
10390 - Bays, Christophe
5184 - Beach, Cody
2151 - Beagle, Jay
11821 - Bean, Jake
10877 - Bean, Justin
11074 - Bear, Ethan
11071 - Bear, Kirk
10004 - Beaton, Bronson
11822 - Beattie, River
11054 - Beauchemin, François
51 - Beauchemin, Francois
11823 - Beaudin, Jean-Christophe
11824 - Beaudin, Jérémie
7903 - Beaudoin, Charles-David
10647 - Beaudoin, Guillaume
10985 - Beaudry, Guillaume
12600 - Beaulieu, Anthony
7085 - Beaulieu, Nathan
7124 - Beaupre, Gabriel
10982 - Beauregard, Anthony
9151 - Beauregard, Mickaël
10980 - Beauvillier, Anthony
3079 - Bebko, Mark
10734 - Bechtold, Markson
11825 - Beck, Guillaume
6370 - Beck, Taylor
8863 - Becker, Kyle
9865 - Beckstead, Marc
8020 - Bednar, Jaroslav
3080 - Bednarz, Artur
10086 - Bélanger, Alexandre
5258 - Beleskey, Matt
11826 - Belisle, Jérémy
1213 - Bell, Brendan
8974 - Bell, Brendan
10989 - Bell, Jason
60 - Bell, Mark
6126 - Bell, Myles
604 - Bellemare, Pierre-Edouard
5225 - Bellemore, Brett
7699 - Bellerive, Matt
10545 - Belov, Anton
2826 - Benak, Vaclav
1666 - Ben-Amor, Semir
10511 - Bender, Tim
10470 - Bengtsson, Anton
10480 - Bengtsson, Christopher
12708 - Bengtsson, Lukas
12614 - Bengtsson, Rasmus
3084 - Benin, Eugene
11827 - Benjafield, Quinn
373 - Benn, Jamie
8428 - Benn, Jordie
10184 - Bennett, Beau
10869 - Bennett, Kris
9870 - Bennett, Sam
6015 - Bennett, Spencer
10946 - Bennington, Owen
1954 - Benoit, Andre
30263 - Benoit, Dan
11828 - Bensmiller, Layne
8811 - Benson, Cole
10743 - Benson, Tyler
9190 - Bent, Kelly
3085 - Bentley, Nick
9191 - Beran, Matej
12811 - Beránek, Ondrej
7711 - Beranek, Petr
3087 - Berg, Markus
3088 - Bergamini, Pietro
65 - Bergenheim, Sean
5741 - Berger, Alain
8705 - Berger, Nils
5742 - Berger, Pascal
5588 - Berger, Sven
66 - Bergeron, Marc-André
67 - Bergeron, Patrice
5195 - Berglund, Kristofer
4445 - Berglund, Patrik
11829 - Bergman, Julius
9621 - Bergström, Alexander
9842 - Berisha, Aaron
3093 - Berkoff, Stanislav
7357 - Bernard, Andreas
12703 - Bernhardt, Daniel
2076 - Bernier, Jonathan
1177 - Bernier, Steve
5701 - Berra, Reto
12310 - Berschbach, Shane
7478 - Bertaggia, Alessio
8706 - Berthon, Eliot
53 - Bertilsson, Simon
9678 - Bertolucci, Luke
9431 - Bertrand, Charles
71 - Bertuzzi, Todd
9007 - Bertuzzi, Tyler
9993 - Bérubé, Élie
6954 - Berube, Jean-Francois
12711 - Bervik, Fredrik
6409 - Beskorowany, Tyler
12768 - Beták, Šimon
11830 - Bethune, Jared
9685 - Betker, Ben
7612 - Bettauer, James
8995 - Betz, Nick
9918 - Betzold, Greg
73 - Bezina, Goran
5672 - Bianchi, Elias
9192 - Bibeau, Antoine
10489 - Bibic, Alen
2856 - Bicanek, Radim
5259 - Bickel, Stu
2052 - Bickell, Bryan
5761 - Bieber, Matthias
8410 - Biega, Alex
10577 - Biega, Danny
1152 - Bieksa, Kevin
3096 - Bielas, Robert
8487 - Biggs, Tyler
7715 - Bignell, Adam
8333 - Bigos, Kyle
9062 - Bigras, Chris
3097 - Bilik, Varoslav
10275 - Billia, Julio
12751 - Billich, Steven
10198 - Billins, Chad
12447 - Billitier, Nathan
11831 - Bilodeau, Gabriel
11832 - Bily, Shaun
8538 - Bina, Robbie
7170 - Binnington, Jordan
5496 - Birbaum, Alain
1902 - Birner, Michal
12477 - Bishop, Alex
5290 - Bishop, Ben
12620 - Bishop, Clark
10555 - Bishop, Hunter
2045 - Bissonnette, Paul
11833 - Bitten, Will
8821 - Bittner, Dominik
9742 - Bittner, Paul
3099 - Bjork, Johan
9743 - Bjorkstrand, Oliver
12422 - Björninen, Hannes
10358 - Bjugstad, Nick
12721 - Bjurö, Jonatan
11834 - Black, Alex
8937 - Black, Graham
6572 - Blacker, Jesse
12446 - Blacksmith, Chiwetin
10915 - Blackwood, Mackenzie
6748 - Blain, Jeremie
3102 - Blair, Ian
598 - Blais, Samuel
11180 - Blaisdell, Doug
12657 - Blakseth Huse, Martin
10817 - Blanchard, Nicholas
2106 - Blanchard, Nicolas
9063 - Blandisi, Joseph
3103 - Blank, Boris
5676 - Blaser, Yannick
12368 - Blazek, Andrew
9767 - Bleackley, Conner
1322 - Blier, Samuel
9018 - Blight, Braydon
5584 - Blindenbacher, Severin
9713 - Blomqvist, Axel
7388 - Blomqvist, Jacob
2653 - Blomqvist, Sami
9392 - Blomstrand, Ludwig
10549 - Blood, Ben
7726 - Blujus, Dylan
5754 - Blum, Eric
682 - Blum, Jonathon
1332 - Blunden, Mike
12353 - Boak, Alex
7769 - Bobkov, Igor
7507 - Bobrovsky, Sergei
10357 - Bobyk, Colton
3108 - Bobyk, Roman
11835 - Bobylev, Vladimir
5556 - Bodenmann, Simon
12314 - Bodie, Mat
2039 - Bodie, Troy
5308 - Bodnarchuk, Andrew
4440 - Boedker, Mikkel
4431 - Bogosian, Zach
9403 - Bohm, Oliver
11109 - Boikov, Sergei
9219 - Bois, Redgie
11020 - Boivin, Christophe
2762 - Bokroš, Tomáš
7806 - Boland, Connor
10814 - Boland, Tyler
2097 - Boll, Jared
1333 - Bolland, Dave
8453 - Bollig, Brandon
9410 - Boltshauser, Luca
7197 - Bonino, Nick
11202 - Bonis, Kyle
2301 - Bonneau, Jimmy
548 - Bonsaksen, Alexander
11017 - Booth, Callum
1350 - Booth, David
435 - Bordeleau, Patrick
8420 - Bordson, Rob
2107 - Borer, Casey
10185 - Borlat, Valentin
9257 - Borowiecki, Mark
732 - Bortuzzo, Robert
11836 - Boston, Tyler
11031 - Bouchard, Jérémy
11018 - Bouchard, Keven
93 - Bouchard, Pierre-Marc
11837 - Boucher, Dillon
5400 - Boucher, Jean-Francois
11838 - Boucher, Mathieu
11839 - Boucher, Matthew
9092 - Boucher, Reid
14530 - Boudreau, Simon
98 - Bouillon, Francis
11840 - Bouillon, Marc-Antoine
100 - Boulton, Eric
6247 - Bouma, Lance
11841 - Bouramman, Gustav
8391 - Bourbeau, Jean
10974 - Bourcier, Jonathan
7626 - Bourke, Troy
9887 - Bourne, Damian
7110 - Bournival, Michael
1872 - Bourque, Chris
6950 - Bourque, Gabriel
1110 - Bourque, Rene
7021 - Bourque, Ryan
11000 - Bourque, Simon
11843 - Bourque, Trenton
10078 - Boutet, Jasmin
7904 - Bouvet-Morrissette, Andre
102 - Bouwmeester, Jay
9806 - Bow, Landon
8495 - Bower, William
8838 - Bowey, Madison
9812 - Bowles, Parker
5856 - Bowman, Collin
936 - Bowman, Drayson
10923 - Bowman, Zack
2286 - Boyce, Darryl
1740 - Boychuk, Johnny
6016 - Boychuk, Riley
4433 - Boychuk, Zach
11844 - Boyd, Aaron
103 - Boyes, Brad
2192 - Boyle, Brian
104 - Boyle, Dan
5286 - Boyle, Daryl
481 - Bozak, Tyler
8831 - Bozon, Tim
10609 - Brace, Adam
6470 - Brace, Riley
12659 - Brack, David
10630 - Brack, Justin
8975 - Bradford, Erik
11845 - Bradley, Matt
8889 - Braid, Chance
11846 - Braid, Chasetan
3120 - Brain, Nick
7256 - Brandl, Thomas
10255 - Brandt, Marcel
6298 - Brassard, Austen
2279 - Brassard, Derick
12649 - Brassard, Éric
9202 - Brassard, François
6183 - Brassart, Brady
9924 - Bratina, Zach
2365 - Braun, Constantin
8433 - Braun, Justin
7221 - Braun, Laurin
12650 - Brede Csiszar, Frettem
6597 - Breen, Christopher
9122 - Brennan, Jacob
5636 - Brennan, Mike
698 - Brennan, T.J.
1814 - Brent, Tim
12292 - Breton, Alex
112 - Brewer, Eric
11847 - Bricker, Dexter
12342 - Brickley, Connor
10947 - Bricknell, Jake
113 - Briere, Daniel
10984 - Brisebois, Guillaume
6915 - Brisebois, Mathieu
9625 - Brithén, Ted
6615 - Brittain, Josh
12363 - Brittain, Sam
9878 - Broadhurst, Alex
10560 - Broadhurst, Terry
5155 - Broda, Joel
11620 - Brodecki, Adam
10394 - Brodeur, Anthony
11848 - Brodeur, Jeremy
6790 - Brodeur, Mathieu
6292 - Brodie, T.J.
7367 - Brodin, Daniel
7376 - Brodin, Jonas
1214 - Brodziak, Kyle
6345 - Broll, David
12663 - Broms, Niklas
9774 - Brooks, Adam
8805 - Brooks, Calder
10890 - Brosnan, Brian
7547 - Brossoit, Laurent
9160 - Brouillard, Nikolas
8776 - Brouillette, Julien
1376 - Brouwer, Troy
11849 - Brown, Brayden
10171 - Brown, Chris
135 - Brown, Connor
8996 - Brown, Connor
9941 - Brown, Davis
123 - Brown, Dustin
10833 - Brown, Graeme
10208 - Brown, J.T.
9058 - Brown, Josh
11850 - Brown, Logan
1788 - Brown, Mike
11780 - Brown, Patrick
9557 - Brown, Rob
8873 - Brown, Travis
11198 - Brown, Tyler
12507 - Brown, Tyler
7172 - Brown, Tyler
10894 - Bruce, Riley
1670 - Bruckler, Bernd
2310 - Brückmann, Felix
2311 - Brückner, Benedikt
994 - Bruess, Trevor
8708 - Brügger, Sandro
11851 - Brumm, David
11027 - Brunelle, Francis
5677 - Brunner, Damien
3133 - Bruun, Antti
127 - Bryzgalov, Ilya
11668 - Buc, David
5661 - Bucher, Tobias
7287 - Buchtele, Jan
2472 - Buchwieser, Martin
7180 - Buck, Brandon
1185 - Budaj, Peter
12801 - Budík, Vojtech
10621 - Budish, Zach
5732 - Bührer, Marco
10567 - Bukarts, Rihards
9475 - Bulir, Michal
11852 - Bullion, Michael
5849 - Bulmer, Brett
11853 - Bunnaman, Connor
10837 - Bunting, Michael
5985 - Bunz, Tyler
11141 - Burakovsky, Andre
10007 - Bureau, Alex
11854 - Bureau-Blais, Philippe
10600 - Burgdoerfer, Erik
2769 - Burger, Jiri
11855 - Burghardt, Luke
5702 - Bürgler, Dario
9500 - Burian, Vilém
1324 - Burish, Adam
11856 - Burke, Brayden
8883 - Burke, Brendan
7914 - Burke, Taylor
9252 - Burlon, Brandon
10769 - Burman, Taz
6271 - Burmistrov, Alexander
5119 - Burns, Andrew
133 - Burns, Brent
9885 - Burnside, Josh
8914 - Burroughs, Kyle
1157 - Burrows, Alexandre
7407 - Burström, Niclas
11391 - Burt, Cameron
3139 - Busch, Florian
10627 - Busch, Jacob
11857 - Bush, Trevor
3360 - Bushee, Kyle
10959 - Bushnell, Noah
11603 - Büsser, Xeno
6786 - Bussieres, Raphael
9724 - Butcher, Chad
7195 - Butler, Bobby
5302 - Butler, Chris
6053 - Button, Ryan
2317 - Buzas, Patrick
1767 - Byers, Dane
1215 - Byfuglien, Dustin
5498 - Bykov, Andrei
709 - Byron, Paul
11858 - Bzowey, Mark
11859 - Caamano, Nicholas
8845 - Cable, Levi
3143 - Cacciaguerra, Alberto
2866 - Cachotský, Tomáš
9421 - Cadorette, Philippe
3144 - Caffrey, Steve
7737 - Cairns, Luke
7753 - Cajkovsky, Michal
5320 - Calla, Brady
9071 - Callaghan, Sean
5853 - Callahan, Mitch
1360 - Callahan, Ryan
11702 - Calof, Andrew
4986 - Calvert, Matt
6630 - Camara, Anthony
5489 - Caminada, Pascal
142 - Cammalleri, Mike
7853 - Campagna, Mathew
5624 - Campbell, Andrew
143 - Campbell, Brian
12459 - Campbell, Chase
12306 - Campbell, Colin
30537 - Campbell, David
11860 - Campbell, Duncan
144 - Campbell, Gregory
7861 - Campbell, Jack
9293 - Camper, Carter
884 - Camperchioli, Luca
11861 - Campese, Matthew
1111 - Campoli, Chris
11862 - Candella, Cole
3145 - Cane, Rob
1029 - Cann, Trevor
10353 - Cannata, Joe
9258 - Cannone, Pat
6737 - Cantin, Marc
9161 - Caouette, Olivier
11468 - Cap, Zdenek
10830 - Capobianco, Kyle
9259 - Caporusso, Louie
11863 - Carbonara, Adrian
1414 - Carcillo, Daniel
11865 - Carcone, Michael
11087 - Cardiff, Jacob
11866 - Cardinal, Martin-Olivier
12334 - Carey, Greg
11564 - Carey, Matt
10994 - Carignan-Labbé, Julien
1216 - Carkner, Matt
10241 - Carle, Mathieu
1217 - Carle, Matthew
9059 - Carlisle, Chris
10653 - Carlo, Brandon
11574 - Carlson, Albin
995 - Carlson, John
12717 - Carlsson, Gabriel
1465 - Carlsson, Patrik
10244 - Caron, Allan
10854 - Caron, Cody
7065 - Caron, Jordan
5837 - Caron, Josh
146 - Caron, Sébastien
10975 - Carozza, Massimo
12358 - Carpenter, Ryan
12312 - Carr, Daniel
12295 - Carr, Doug
9928 - Carrick, Connor
10875 - Carrick, Josh
6322 - Carrick, Sam
9042 - Carrick, Trevor
10038 - Carrier, Alexandre
7126 - Carrier, Alexandre
10015 - Carrier, Scott
7885 - Carrier, William
8777 - Carroll, Andrew
8962 - Carroll, Austin
10700 - Carroll, Ben
11867 - Carroll, Noah
6032 - Carruth, Mac
30559 - Carter, James
1089 - Carter, Jeff
1815 - Carter, Ryan
10920 - Carty, Dawson
9758 - Carvalho, Joseph
12511 - Carzo, Rocco
8563 - Cascagnette, Jacob
4949 - Caslava, Petr
9060 - Cassels, Cole
10582 - Casto, Chris
5675 - Casutt, Corsin
6673 - Catenacci, Dan
3153 - Cavallo, Mario
8939 - Cave, Colby
11868 - Caza, David
2753 - Cech, Filip
6553 - Ceci, Cody
10314 - Cederholm, Anton
10477 - Cehlarik, Peter
495 - Cehlin, Patrick
10887 - Centorame, Santino
9076 - Ceresnak, Peter
2918 - Cermak, Leos
11681 - Cermak, Roman
12399 - Cernoch, Jiri
4641 - Cervenka, Roman
7299 - Cerveny, Rudolf
12630 - Cestr, Vaclav
11003 - Chabot, Thomas
11869 - Chaddock, Chris
8656 - Chaloupka, Petr
11042 - Chapados, Anthony
7838 - Chapman, Adam
9938 - Chapman, Joshua
6922 - Chaput, Michael
151 - Chara, Zdeno
10712 - Charif, Nick
3157 - Charpenon, Pierre
9701 - Chartier, Rourke
8806 - Chase, Greg
11870 - Chatfield, Jalen
11166 - Chatham, Connor
10360 - Chavaillaz, Benjamin
7535 - Cheek, Trevor
12305 - Chelios, Jake
11354 - Cherniwchan, Andrew
10998 - Chevalier, Maxime
11871 - Chevrier, Simon
6714 - Chiarot, Ben
10182 - Chiasson, Alex
5715 - Chiesa, Alessandro
11872 - Child, Travis
156 - Chimera, Jason
1955 - Chipchura, Kyle
12605 - Chiriaev, Evgeni
11873 - Chlapik, Filip
11551 - Chlouba, Roman
11776 - Chmielewski, Aron
10695 - Chorney, Cole
5334 - Chorney, Taylor
7156 - Chouinard, Joel
3162 - Christen, Björn
1143 - Christensen, Erik
7245 - Christensen, Mads
9775 - Christoffer, Braden
12631 - Chrpa, Jakub
11210 - Chubak, Carsen
3166 - Chubisov, Serikbolsyn
3167 - Churin, Theodor
11874 - Chychrun, Jakob
8823 - Chynoweth, Ryan
10771 - Chyzowski, Nick
5503 - Ciaccio, Damiano
7923 - Ciampini, Luca
10954 - Cianfrone, Bryson
163 - Cibak, Martin
10938 - Ciccarelli, Matteo
11752 - Cienciala, David
8056 - Ciernik, Ivan
11445 - Ciliak, Marek
7879 - Cingel, Lukas
11875 - Cirelli, Anthony
3169 - Ciroi, Umberto
6459 - Cizikas, Casey
8603 - Claesson, Fredrik
12616 - Claesson, Ludvig
11876 - Clague, Kale
10829 - Clapham, Austin
9136 - Clapperton, Christopher
11560 - Clark, Andrew
10850 - Clark, Everett
10269 - Clark, Jason
8475 - Clark, Kevin
6335 - Clark, Mat
9850 - Clarke, Blake
9248 - Clarke, Michael
1882 - Clarkson, David
11877 - Clavet, Jamie
168 - Cleary, Daniel
3173 - Cleeve, Dave
11339 - Clemente, Mike
9575 - Clendening, Adam
6859 - Clermont, Maxime
2193 - Cliche, Marc-Andre
6274 - Clifford, Kyle
5629 - Climie, Matt
5336 - Clitsome, Grant
10702 - Clouston, Connor
12622 - Cloutier, Frédéric
1090 - Clowe, Ryane
2167 - Clune, Rich
2157 - Clutterbuck, Cal
9043 - Cobbold, Spenser
10839 - Cobham, Chris
1091 - Coburn, Braydon
11878 - Cochrane, Carter
11879 - Cochrane, Christopher
6093 - Coetzee, Willie
11880 - Coghlan, Dylan
2090 - Cogliano, Andrew
8441 - Cohen, Colby
172 - Colaiacovo, Carlo
8414 - Colborne, Joe
173 - Cole, Erik
8442 - Cole, Ian
11881 - Cole, Rykr
1269 - Colella, Maurizio
9352 - Collberg, Sebastian
3177 - Collenberg, Franco
10282 - Collins, Chris
12456 - Collins, Jacob
12748 - Collins, Mike
1218 - Collins, Rob
10282 - Collins, Sean
11882 - Collins, Shane
3178 - Colliva, Francesco
1362 - Comeau, Blake
6383 - Comrie, Adam
8944 - Comrie, Eric
11152 - Comrie, Ty
8779 - Conacher, Cory
414 - Conboy, Andrew
1742 - Conboy, Tim
11358 - Condon, Mike
957 - Condra, Erik
6264 - Connauton, Kevin
1364 - Conner, Chris
11341 - Connolly, Brendan
6058 - Connolly, Brett
10290 - Connolly, Chris
9599 - Connolly, Jack
9694 - Connolly, Josh
9310 - Connolly, Mike
5517 - Conz, Benjamin
5524 - Conz, Florian
9065 - Cook, Holden
179 - Cooke, Matt
9227 - Cooper, Oliver
9658 - Cooper, Taylor
12317 - Copley, Pheonix
12526 - Copp, Andrew
9679 - Corbett, Cody
9106 - Corbett, Jeff
11883 - Cordssen-David, Andrew
10906 - Core, Zachary
10612 - Coreau, Jared
11884 - Cormier, Evan
11885 - Cormier, Lane
7068 - Cormier, Patrice
10852 - Corneil, Johnny
9916 - Cornel, Eric
7067 - Cornet, Philippe
3182 - Coronel, Stefan
6716 - Corrado, Frank
5269 - Corrente, Matthew
9203 - Corriveau, Raphaël
3183 - Corry, Mike
10290 - Corvi, Enzo
12347 - Costello, Jeff
8963 - Cote, Brett
1220 - Cote, Jean-Phillipe
10137 - Côté, Vytal
10873 - Coughler, Jake
11886 - Coughlin, Tate
11887 - Coulombe, Alexandre
4487 - Coulter, Tyler
2387 - Courchaine, Adam
10553 - Courtnall, Justin
6686 - Cousins, Nick
1800 - Couture, Derek
483 - Couture, Logan
9652 - Couture, William
6840 - Couturier, Sean
6192 - Cowen, Jared
6543 - Cowick, Corey
8865 - Cox, Trevor
9417 - Coyle, Charlie
5979 - Coyle, Jace
11888 - Coyle, Josh
1752 - Crabb, Joey
2253 - Cracknell, Adam
10950 - Craievich, Adam
6217 - Craig, Graeme
1153 - Craig, Ryan
6462 - Cramarossa, Joseph
9843 - Cramarossa, Michael
11400 - Crane, Chris
1195 - Crawford, Corey
11889 - Crawford, Marcus
6290 - Crawford, Nick
11890 - Crawley, Brandon
6416 - Crescenzi, Andrew
11891 - Crête, Danick
10995 - Crevier-Morin, Marc-Olivier
7735 - Crisp, Connor
1600 - Crombeen, B.J.
1082 - Crosby, Sidney
10559 - Cross, Tommy
11892 - Crossley, Brett
10927 - Crouse, Lawson
987 - Crowder, Paul
8964 - Crunk, Taylor
10631 - Crus Rydberg, Victor
12591 - Cruseman, Filip
7969 - Culkin, Ryan
186 - Cullen, Matt
9550 - Cullity, Patrick
6552 - Cuma, Tyler
1379 - Cumiskey, Kyle
9966 - Cummins, Conor
6740 - Cundari, Mark
6250 - Cunningham, Craig
854 - Cunti, Luca
10096 - Cuomo, Marcus
8558 - Cüpper, Marvin
7842 - Curcuruto, Gianluca
6993 - Currie, Josh
12599 - Currit, Fabien
2073 - Curry, John
11893 - Curtis, Benji
11894 - Cusson, Matthew
3185 - Cygan, Tomasz
11895 - Czaikowski, Carter
6614 - Czarnik, Robert
12309 - Czarnowczan, Scott
8008 - Czuczman, Kevin
8486 - Da Costa, Stephane
11719 - Da Costa, Teddy
10568 - Daavettila, Trent
1956 - D'Agostini, Matt
10594 - D'Agostino, Nick
12641 - Dahl-Andersen, Christian
7382 - Dahlbeck, Klas
11631 - Dahlström, Carl
3188 - Dakeev, Pavel
9900 - Dal Colle, Michael
10537 - Dal Pian, Giacomo
195 - Daley, Trevor
11561 - Dalhuisen, Mike
7502 - Dalpe, Zac
6761 - Dame-Malka, Olivier
9776 - D'Amico, Patrick
8462 - D'Amigo, Jerry
7152 - Danault, Phillip
3195 - Danielsson, Nicklas
1192 - Danis, Yann
3197 - Danner, Simon
11782 - Dano, Marko
8601 - Dansk, Oscar
10109 - D'Aoust, Alexis
4490 - Daoust, Jean-Michel
11168 - Darcy, Cameron
11394 - Darling, Scott
2485 - Daschner, Stephan
201 - Datsyuk, Pavel
5231 - Daugavins, Kaspars
10016 - Dauphin, Laurent
11731 - Davidek, Martin
6123 - Davidson, Brandon
8773 - Davies, Michael
11197 - Davies, Mike
11573 - Davies, Zachery
30773 - Davis, Joe
10758 - Davis, Kevin
11726 - Davis, Kurt
1966 - Davis, Patrick
9906 - Davis, Taylor
11181 - Day, Sean
6530 - de Haan, Calvin
9964 - de Haan, Evan
11896 - De Jong, Brendan
