,Overall,Even Strength,Power Play,Shorthanded,,,,,,,,,,,,,,,,,
Name,Compare,Pos,Age,Team,GP,Total Dist.,Distance/60,Top Game,Top Period,Total Dist.,Distance/60,Top Game,Top Period,Total Dist.,Distance/60,Top Game,Top Period,Total Dist.,Distance/60,Top Game,Top Period
OLIVER KAPANEN,,C,22.8,MTL,82,184.79,9.34,3.59,1.21,156.46,9.59,3.16,1.1,12.72,9.67,0.71,0.41,15.6,7.27,0.51,0.4
JEAN-GABRIEL PAGEAU,,C,33.6,NYI,74,183.98,9.52,3.03,1.2,154.68,9.74,2.73,1.09,3.89,8.51,0.39,0.27,25.42,8.54,0.88,0.5
EVANDER KANE,,R,34.8,VAN,71,183.5,9.45,3.22,1.23,167.58,9.56,3.16,1.18,15.72,8.39,0.78,0.49,0.2,8.78,0.06,0.06
CARSON SOUCY,,D,31.9,NYI,76,183.33,8.76,3.24,1.38,169.39,8.92,3.13,1.36,0.43,10.45,0.11,0.1,13.51,7.12,0.55,0.33
YAKOV TRENIN,,C,29.4,MIN,82,181.99,10.03,3.03,1.22,164.35,10.16,2.92,1.14,1.1,8.95,0.46,0.28,16.55,8.92,0.71,0.39
DYLAN HOLLOWAY,,L,24.7,STL,59,181.98,10.14,3.96,1.72,159.34,10.31,3.51,1.58,20.07,9.08,0.76,0.52,2.56,8.94,0.39,0.32
PEYTON KREBS,,L,25.4,BUF,82,181.92,9.67,3.14,1.23,179.23,9.68,3.13,1.23,1.22,10.16,0.32,0.28,1.47,8.77,0.14,0.12
ALBERT JOHANSSON,,D,25.4,DET,82,181.42,8.33,3.13,1.31,167.55,8.52,2.87,1.3,2.46,8.86,0.49,0.32,11.41,6.17,0.45,0.28
MASON MCTAVISH,,L,23.3,ANA,75,181.38,9.47,3.47,1.3,162.08,9.83,3.12,1.24,18.19,7.14,0.74,0.47,1.12,9.43,0.22,0.12
PHILLIP DANAULT,,C,33.3,MTL,75,181.38,9.32,3.17,1.19,155.35,9.57,2.77,1.13,6.68,8.82,0.5,0.48,19.35,7.81,0.76,0.44
MICHAEL MCCARRON,,C,31.2,MIN,79,181.14,9.8,2.89,1.1,155.11,10.12,2.66,1.06,0.86,7.95,0.42,0.26,25.17,8.28,0.95,0.64
CONNOR ZARY,,L,24.7,CGY,74,180.89,10.21,3.33,1.3,160.04,10.2,3.05,1.3,20.71,10.24,0.78,0.49,0.14,9.78,0.04,0.03
JAKE MIDDLETON,,D,30.4,MIN,75,180.84,8.26,3.26,1.26,164.77,8.5,2.87,1.26,0.21,7.67,0.05,0.05,15.85,6.4,0.63,0.33
KAEDAN KORCZAK,,D,25.3,VGK,78,180.84,8.71,3.69,1.32,176.14,8.75,3.47,1.32,0.57,10.15,0.21,0.19,4.13,7.15,0.27,0.23
LOGAN STANLEY,,D,28.0,BUF,76,180.68,8.54,4.06,1.41,167.26,8.63,3.51,1.31,4.75,8.61,0.73,0.3,8.67,7.07,0.45,0.33
TREVOR MOORE,,L,31.2,L.A,69,180.49,9.38,3.29,1.19,157.2,9.55,3.13,1.19,6.94,8.3,0.45,0.28,16.35,8.4,0.79,0.5
JONAS BRODIN,,D,32.9,MIN,62,180.33,8.6,3.59,1.47,166.38,8.81,3.43,1.47,0.71,9.08,0.21,0.21,13.24,6.63,0.53,0.4
FREDERICK GAUDREAU,,C,33.1,SEA,68,179.65,9.82,3.55,1.33,159.44,10.16,3.32,1.28,3.41,10.36,0.72,0.46,16.79,7.37,0.73,0.44
MARAT KHUSNUTDINOV,,L,23.9,BOS,77,179.54,9.65,3.19,1.14,161.29,9.79,2.85,1.14,7.8,9.66,0.73,0.37,10.46,7.88,0.48,0.36
TROY TERRY,,R,28.7,ANA,61,178.71,9.58,3.84,1.27,141.38,9.77,3.2,1.18,28.95,8.91,0.99,0.7,8.39,8.92,0.78,0.37
ANTHONY CIRELLI,,C,28.9,T.B,71,177.79,8.68,3.38,1.3,142.48,8.94,2.75,1.14,9.14,6.34,0.55,0.31,26.17,8.4,0.96,0.56
SCOTT MAYFIELD,,D,33.6,NYI,80,177.1,8.06,2.95,1.23,162.65,8.21,2.71,1.23,0.22,9.12,0.15,0.15,14.23,6.66,0.58,0.34
MASON LOHREI,,D,25.4,BOS,73,177.01,8.61,3.29,1.28,160.89,8.58,3.1,1.19,14.89,9.02,0.77,0.44,1.23,7.42,0.38,0.2
SETH JONES,,D,31.7,FLA,52,176.92,8.61,4.64,1.66,134.51,8.7,4.18,1.51,27.58,8.94,1.3,0.93,14.83,7.45,0.81,0.55
KEVIN STENLUND,,C,29.7,UTA,80,176.86,9.16,3.04,1.28,142.27,9.44,2.85,1.17,2.17,6.66,0.38,0.25,32.42,8.31,0.86,0.48
ZEMGUS GIRGENSONS,,L,32.4,T.B,74,175.82,9.65,3.1,1.36,155.41,9.85,2.75,1.24,0.36,7.85,0.07,0.07,20.05,8.41,0.92,0.77
NIC DOWD,,C,36.0,VGK,75,175.79,9.67,3.34,1.34,152.09,9.93,2.93,1.31,0.76,9.64,0.11,0.1,22.94,8.25,0.8,0.48
BRAYDEN MCNABB,,D,35.4,VGK,63,175.3,8.13,3.29,1.31,158.36,8.37,3.11,1.31,0.74,8.29,0.14,0.11,16.2,6.39,0.67,0.38
BOBBY BRINK,,R,24.9,MIN,68,175.27,10.2,3.54,1.38,154.16,10.33,3.1,1.2,20.91,9.39,1.02,0.62,0.2,6.89,0.11,0.11
ADAM FOX,,D,28.3,NYR,55,175.12,8.09,3.94,1.5,146.93,8.2,3.64,1.34,23.04,7.6,0.87,0.52,5.16,7.26,0.42,0.32
SHANE WRIGHT,,C,22.4,SEA,74,175.01,10.28,3,1.24,158.07,10.52,2.88,1.22,16.61,8.43,0.61,0.35,0,0,0.09,0.09
NICOLAS ROY,,R,29.3,COL,74,174.92,9.81,3.32,1.29,151.84,10.16,3.05,1.28,8.08,7.65,0.62,0.29,15,8.17,0.62,0.5
JORDAN MARTINOOK,,R,33.9,CAR,77,174.68,9.17,3.01,1.16,151.35,9.33,2.55,1.02,0.35,7.37,0.05,0.05,22.99,8.29,0.94,0.47
SEAN KURALY,,C,33.4,BOS,82,174.47,9.58,2.98,1.22,141.23,9.8,2.58,1.08,0.63,9.95,0.2,0.2,32.6,8.73,0.89,0.42
ADAM LOWRY,,C,33.2,WPG,70,173.84,9.95,3.33,1.32,155.94,10.19,3.03,1.17,0.88,9.33,0.29,0.19,17.02,8.22,0.79,0.38
CASEY MITTELSTADT,,L,27.5,BOS,71,173.56,9.67,3.14,1.19,155.65,9.79,2.8,1.04,17.77,8.76,0.91,0.42,0.14,8.85,0.05,0.05
SIMON BENOIT,,D,27.7,PHI,73,173.3,8.24,3.02,1.17,158.57,8.46,2.77,1.17,0.06,8.61,0.03,0.03,14.67,6.38,0.56,0.39
COLE PERFETTI,,L,24.4,WPG,68,173.26,9.78,3.32,1.46,151.52,10.01,2.93,1.17,21.5,8.4,0.87,0.59,0,0,0.15,0.15
JOHN KLINGBERG,,D,33.8,S.J,56,172.87,9.05,3.99,1.7,147.84,9.07,3.51,1.57,24.67,8.94,1.06,0.66,0.36,10.05,0.13,0.13
ZACHARY BOLDUC,,L,23.3,MTL,78,172.76,9.75,2.79,1.15,156,9.98,2.71,1.15,16.65,8.03,1.32,0.66,0.11,9.91,0.06,0.06
MATTHEW ROBERTSON,,D,25.2,NYR,72,172.29,8.25,3.1,1.2,159.02,8.37,2.94,1.16,0.66,9.51,0.14,0.14,12.61,6.94,0.67,0.39
TOM WILLANDER,,D,21.3,VAN,70,171.54,8.65,3.48,1.23,154.99,8.67,3.39,1.18,12.65,9.14,0.89,0.65,3.9,6.93,0.26,0.19
MARK STONE,,R,34.1,VGK,60,171.38,8.92,3.48,1.34,138.79,9.51,3.14,1.34,22.47,6.5,1.11,0.54,10.13,8.69,0.57,0.33
PARKER KELLY,,L,27.1,COL,82,170.72,9.83,2.79,1.1,143.88,9.98,2.67,1.09,0.7,10.61,0.15,0.15,26.14,9.09,0.8,0.51
ZACH BENSON,,L,21.1,BUF,65,170.42,9.9,3.98,1.4,144.34,10.08,3.15,1.33,15.65,8.35,1.02,0.51,10.43,10.25,0.84,0.41
VLADIMIR TARASENKO,,R,34.5,MIN,75,170.27,9.12,3.05,1.16,149.59,9.46,2.56,1.16,20.47,7.17,0.91,0.61,0,0,0.18,0.18
JACK ROSLOVIC,,R,29.3,EDM,69,170.05,9.38,3.51,1.26,159.69,9.51,3.28,1.26,10.3,7.73,0.63,0.47,0,0,0.04,0.04
TYLER TOFFOLI,,R,34.1,S.J,79,170.01,8.62,2.84,1.17,143.78,9.09,2.64,1.02,25.98,6.71,0.83,0.44,0,0,0.14,0.14
DANTE FABBRO,,D,28.0,CBJ,74,169.73,8.31,3.33,1.45,157.2,8.5,3.32,1.33,0.45,8.39,0.1,0.1,12.08,6.39,0.67,0.3
FABIAN ZETTERLUND,,R,26.8,OTT,82,169.7,9.62,3,1.23,156.68,9.8,2.92,1.23,12.44,7.79,0.72,0.44,0.58,8.73,0.21,0.16
TYLER KLEVEN,,D,24.4,OTT,70,169.65,8.38,3.88,1.43,155.44,8.5,3.63,1.41,1.05,8.07,0.29,0.21,13.16,7.23,0.72,0.4
SAM DICKINSON,,D,20.0,S.J,72,169.47,8.43,3.19,1.21,158.89,8.52,3.07,1.19,3.47,9.48,0.57,0.31,7.12,6.58,0.61,0.32
SEAN DURZI,,D,27.6,UTA,60,169.37,8.79,3.54,1.53,155.41,8.84,3.29,1.39,11.28,8.62,0.55,0.31,2.68,7.18,0.19,0.17
JUSTIN HRYCKOWIAN,,L,25.3,DAL,81,169.15,9.42,3.15,1.13,146.11,9.51,2.67,0.97,7.49,8.81,0.44,0.32,15.55,8.93,0.62,0.39
JACK MCBAIN,,L,26.4,UTA,75,169.03,9.77,2.9,1.18,150.24,9.98,2.63,1.08,3.49,7.76,0.34,0.27,15.3,8.48,0.56,0.38
MICHAEL CARCONE,,R,30.0,UTA,79,168.95,10.08,2.97,1.11,158.07,10.2,2.97,1.11,10.87,8.63,0.47,0.31,0.01,5.41,0.01,0.01
NICOLAS HAGUE,,D,27.5,NSH,62,168.92,8.33,3.28,1.37,152.86,8.46,3.2,1.37,0.55,7.46,0.11,0.11,15.52,7.24,0.96,0.58
TROY STECHER,,D,32.2,TOR,64,168.6,8.24,3.54,1.35,154.67,8.44,3.41,1.25,0.35,7.57,0.16,0.15,13.58,6.5,0.55,0.36
VICTOR OLOFSSON,,R,30.9,CGY,78,168.54,9.56,3.24,1.21,146.64,9.83,2.9,1.13,21.77,8.03,1.12,0.56,0,0,0.07,0.07
ONDREJ PALAT,,L,35.2,NYI,80,168.03,9.83,2.87,1.06,156.66,9.92,2.73,1.06,9,8.89,0.61,0.46,2.36,8.32,0.19,0.16
MATIAS MACCELLI,,L,25.6,TOR,71,167.57,9.72,3.19,1.24,148.21,9.76,2.9,1.17,19.26,9.37,0.76,0.5,0.1,0,0.06,0.06
BOONE JENNER,,C,33.0,CBJ,67,167.47,9.33,3.19,1.26,149.51,9.69,3.02,1.21,6.4,7.06,0.66,0.33,11.57,7.15,0.52,0.32
EGOR CHINAKHOV,,L,25.3,PIT,72,167.21,10.34,3.88,1.39,153.45,10.51,3.63,1.23,13.74,8.72,1.05,0.66,0.01,4.62,0,0
LOGAN MAILLOUX,,D,23.1,STL,67,167.04,8.92,3.87,1.55,154.94,8.98,3.39,1.51,6.96,9.69,0.73,0.38,5.15,6.76,0.53,0.35
OLIVER BJORKSTRAND,,R,31.2,T.B,80,166.98,9.18,3.16,1.34,138.24,9.86,2.67,1.1,28.45,6.83,1,0.62,0.29,0,0.17,0.17
KEVIN FIALA,,L,29.9,L.A,56,166.76,9.34,3.79,1.38,140.52,9.6,3.25,1.35,25.92,8.15,0.92,0.76,0.33,9.18,0.13,0.13
JONATHAN DROUIN,,R,31.2,STL,64,166.36,9.25,3.21,1.26,143.2,9.56,2.98,1.23,23.09,7.7,0.91,0.49,0.07,10.61,0.03,0.03
MIKAEL GRANLUND,,C,34.3,ANA,58,166.23,8.97,3.81,1.38,131.02,9.5,3.23,1.3,22.57,7.35,0.79,0.46,12.64,7.54,1.06,0.49
JONATHAN MARCHESSAULT,,R,35.4,NSH,62,166.12,9.62,3.46,1.26,139.78,9.73,3.08,1.24,26.33,9.11,1.02,0.61,0.01,6.58,0.01,0.01
MATT GRZELCYK,,D,32.4,CHI,69,165.77,8.49,3.36,1.51,154.14,8.52,3.36,1.51,8.3,8.55,0.48,0.32,3.33,7.39,0.3,0.3
YAN KUZNETSOV,,D,24.2,CGY,57,165.56,8.68,3.6,1.42,152.42,8.78,3.17,1.39,0.49,9.15,0.11,0.11,12.65,7.58,0.54,0.48
CONNOR DEWAR,,L,26.9,PIT,78,165.21,9.13,2.82,1.07,137.72,9.45,2.62,1,0.27,7.12,0.14,0.14,27.21,7.8,1.08,0.75
JASON DICKINSON,,C,30.9,EDM,64,165.16,9.97,3.23,1.29,144.48,10.17,2.94,1.18,0.94,9.7,0.15,0.15,19.73,8.73,0.82,0.54
MICHAEL BUNTING,,L,30.7,DAL,74,164.94,9.26,2.88,1.21,147.48,9.46,2.6,1.21,17.42,7.87,0.79,0.53,0.04,5.98,0.04,0.04
RYKER EVANS,,D,24.5,SEA,67,164.75,8.29,3.31,1.36,154.56,8.4,3.18,1.36,3.69,9.42,0.48,0.21,6.5,6,0.35,0.31
BARRETT HAYTON,,C,26.0,UTA,67,164.51,9.74,3.02,1.27,144.23,10,2.93,1.23,18.45,8.16,0.65,0.44,1.83,8.8,0.23,0.16
JAKE EVANS,,C,30.0,MTL,68,164.31,9.44,2.98,1.25,136.48,9.69,2.71,1.16,0,0,0.18,0.18,27.27,8.34,0.85,0.55
EVGENI MALKIN,,R,39.8,PIT,56,163.94,9.98,3.85,1.41,140.37,10.42,3.28,1.31,23.47,7.96,1.07,0.5,0,0,0.08,0.08
JOSH ANDERSON,,R,32.1,MTL,72,163.58,9.72,2.9,1.12,141.2,10.06,2.51,1.11,0.99,10.75,0.33,0.22,21.39,7.93,0.72,0.42
RYAN LEONARD,,R,21.4,WSH,75,163.26,9.06,3.5,1.3,136.87,9.08,3.19,1.27,26.36,8.99,0.83,0.52,0.03,3.83,0.03,0.03
ARSENY GRITSYUK,,L,25.2,N.J,66,163.08,9.77,3.57,1.42,152.8,9.83,3.57,1.42,10.22,8.93,0.61,0.34,0.06,9.84,0.04,0.04
NOAH LABA,,C,22.8,NYR,74,162.65,9.79,2.95,1.11,143.46,9.91,2.62,1.01,6.44,9.51,0.58,0.35,12.74,8.75,0.5,0.42
MARK KASTELIC,,R,27.2,BOS,82,162.55,9.43,2.55,1.06,139.5,9.74,2.39,0.96,0.97,10.04,0.2,0.2,22.08,7.82,0.68,0.34
AXEL SANDIN-PELLIKKA,,D,21.2,DET,68,162.23,8.83,3.36,1.57,141.87,8.83,3.36,1.24,18.28,9.27,0.9,0.57,2.08,6.4,0.28,0.24
NEAL PIONK,,D,30.8,WPG,51,162.19,8.4,3.74,1.38,135.99,8.59,3.41,1.35,11.84,8.73,0.63,0.34,14.36,6.81,0.68,0.41
NICHOLAS ROBERTSON,,R,24.7,TOR,78,161.89,9.84,3.13,1.1,148.24,9.94,2.61,1.1,12.69,8.84,0.63,0.36,0.96,8.69,0.17,0.16
DALIBOR DVORSKY,,C,21.0,STL,71,161.7,9.53,3.14,1.4,143,9.77,2.76,1.24,18.58,8.02,0.8,0.5,0.11,9.9,0.04,0.04
JEREMY LAUZON,,D,29.1,VGK,68,161.14,8.28,3.22,1.31,146.93,8.5,3.08,1.31,0.28,11.77,0.16,0.16,13.92,6.44,0.67,0.47
MATS ZUCCARELLO,,R,38.8,MIN,59,161,8.78,3.72,1.3,136.71,9.26,2.96,1.2,24.1,6.79,1.22,0.61,0.2,8.78,0.1,0.1
JAKE NEIGHBOURS,,L,24.2,STL,69,160.7,9.18,2.81,1.12,142.36,9.46,2.65,1.05,17.94,7.4,0.61,0.45,0.41,8.77,0.06,0.06
TY EMBERSON,,D,26.0,EDM,72,160.65,8.63,2.96,1.29,149.12,8.74,2.88,1.29,0,0,0.11,0.08,11.35,7.36,0.4,0.3
KENT JOHNSON,,R,23.6,CBJ,76,160.57,9.57,3.34,1.33,141.3,9.64,2.7,1.05,18.99,9.12,0.98,0.66,0.29,7.8,0.17,0.17
SAMUEL GIRARD,,D,28.1,PIT,60,159.68,8.82,3.45,1.24,152.18,8.91,3.35,1.24,0.88,9.73,0.19,0.15,6.63,7.12,0.36,0.36
PONTUS HOLMBERG,,C,27.2,T.B,70,159.36,10.23,3.31,1.3,155.95,10.25,3.31,1.27,1.41,8.71,0.2,0.14,2,10.49,0.61,0.61
ROSS COLTON,,L,29.7,NSH,73,159.14,10.45,2.78,1.08,150.3,10.57,2.65,1.07,8.41,8.73,0.58,0.39,0.44,9.14,0.14,0.14
REILLY SMITH,,L,35.2,VGK,69,159,10.1,3.37,1.23,144.11,10.14,3.01,1.23,4.74,9.86,0.46,0.37,10.14,9.72,0.54,0.39
CASEY CIZIKAS,,C,35.3,NYI,81,158.5,9.98,2.67,1.1,142.2,10.25,2.38,1.09,0.56,9.75,0.14,0.14,15.75,8.07,0.51,0.39
PIUS SUTER,,C,30.0,STL,64,158.25,9.33,3.36,1.29,133.54,9.6,2.99,1.17,9.47,7.87,0.43,0.38,15.25,8.27,0.8,0.51
CODY GLASS,,C,27.2,N.J,70,157.77,9.93,2.91,1.14,147.12,10.07,2.91,1.13,4.13,9.25,0.45,0.34,6.52,7.89,0.45,0.33
ZACH HYMAN,,R,34.0,EDM,58,157.73,8.17,3.38,1.23,138.27,8.76,3.12,1.15,19.19,5.49,0.71,0.43,0.28,8.19,0.1,0.1
VIKTOR ARVIDSSON,,R,33.2,BOS,69,157.16,9.36,2.88,1.23,136.01,9.37,2.58,0.99,21.13,9.28,1.06,0.49,0,0,0.02,0.02
EASTON COWAN,,L,21.0,TOR,66,156.73,9.69,3.41,1.37,140.89,9.74,3.04,1.37,15.82,9.24,0.65,0.46,0,0,0.02,0.02
GABRIEL LANDESKOG,,L,33.5,COL,60,156.6,9.54,3.7,1.33,137.29,9.91,3.22,1.25,19.02,7.55,0.84,0.61,0.29,8.66,0.1,0.1
DANILA YUROV,,R,22.4,MIN,73,156.49,9.67,2.99,1.19,147.78,9.76,2.75,1.13,6.44,8.62,0.68,0.31,2.27,7.65,0.31,0.16
NICK COUSINS,,L,32.9,OTT,81,156.38,10.14,2.87,1.25,155.44,10.13,2.87,1.25,0.71,9.67,0.14,0.14,0,0,0.16,0.16
A.J. GREER,,R,29.5,FLA,78,156.23,9.67,2.97,1.25,147.84,9.68,2.68,1.11,1.52,9.83,0.46,0.4,6.88,9.33,0.77,0.5
ROOPE HINTZ,,C,29.5,DAL,53,156.03,10.19,3.94,1.45,127.59,10.54,3.21,1.37,24.02,8.82,1,0.74,4.41,8.98,0.56,0.26
GAGE GONCALVES,,L,25.4,T.B,74,154.87,9.59,3.04,1.26,142.51,9.72,2.86,1.13,9.92,8.2,0.56,0.4,2.43,9.15,0.59,0.4
NICK JENSEN,,D,35.7,OTT,61,154.72,8.95,3.48,1.33,147.69,8.99,3.24,1.33,0.49,9.25,0.17,0.17,6.54,8.04,0.45,0.37
KEEGAN KOLESAR,,R,29.2,VGK,82,153.53,9.74,2.8,1.12,145.33,9.77,2.8,1.06,0.71,7.09,0.12,0.12,7.49,9.49,0.49,0.32
TANNER JEANNOT,,L,29.0,BOS,77,153.35,9.45,2.67,1.12,137.49,9.56,2.37,1,0.9,9.06,0.17,0.17,14.95,8.56,0.59,0.38
ERIK CERNAK,,D,29.0,T.B,61,152.5,8.51,3.33,1.32,133.66,8.81,3.01,1.22,0.52,8.98,0.1,0.07,18.32,6.85,0.93,0.54
SHAYNE GOSTISBEHERE,,D,33.1,CAR,55,151.62,8.6,3.84,1.38,126.03,8.59,3.59,1.3,25.19,8.69,1.01,0.69,0.4,7.26,0.07,0.07
LIAM OHGREN,,L,22.3,VAN,69,151.42,10,3.24,1.22,142.76,10.04,2.93,1.1,3.88,10.12,0.74,0.39,4.78,8.91,0.4,0.23
BRAD MARCHAND,,R,38.1,FLA,52,151.24,9.84,4.09,1.46,114.09,10.13,3.56,1.44,28.64,8.9,1.29,0.68,8.51,9.54,0.61,0.32
SCOTT LAUGHTON,,C,32.0,L.A,64,149.92,9.79,3.02,1.22,128.38,10.05,2.7,1.09,2.94,7.75,0.32,0.23,18.6,8.63,1.01,0.65
ELIAS PETTERSSON,,D,22.3,VAN,70,149.79,8.57,3.07,1.16,139.39,8.68,3.01,1.16,0.52,9.19,0.09,0.09,9.88,7.24,0.41,0.26
JOEL ARMIA,,L,33.0,L.A,67,149.39,9.51,3.02,1.17,128.78,9.64,2.61,1.15,5.94,7.58,0.54,0.4,14.67,9.44,0.53,0.33
MATT DUCHENE,,C,35.4,DAL,57,148.98,9.5,3.49,1.51,129.63,9.63,3.16,1.51,19.2,8.71,1.04,0.61,0.15,9.93,0.04,0.04
TREVOR VAN RIEMSDYK,,D,34.9,WSH,68,148.78,8.08,2.81,1.05,135.28,8.26,2.68,1.01,0.52,6.56,0.14,0.14,12.98,6.67,0.48,0.35
WARREN FOEGELE,,L,30.2,OTT,68,148.32,9.5,2.96,1.04,133.36,9.7,2.78,1.03,5.8,8.31,0.53,0.33,9.17,7.88,0.55,0.29
LINUS KARLSSON,,R,26.5,VAN,79,148.23,9,2.72,1.03,134.11,9.15,2.47,1.03,13.85,7.76,0.52,0.49,0.27,8.02,0.1,0.09
MATTHEW WOOD,,C,21.3,NSH,71,148.07,10.16,2.98,1.14,131.33,10.31,2.98,1.1,16.69,9.06,0.63,0.51,0.05,8.77,0.03,0.03
BECK MALENSTYN,,R,28.3,BUF,81,147.75,9.73,2.63,1.22,126.33,9.92,2.33,1.22,0,0,0.16,0.16,20.98,8.64,0.79,0.45
JOEL HANLEY,,D,35.0,CGY,68,147.74,8.89,3.12,1.2,139.62,9,3.01,1.2,0.31,9.83,0.06,0.06,7.82,7.25,0.38,0.23
ADAM WILSBY,,D,25.8,NSH,58,147.73,8.99,3.28,1.24,140.13,9.08,3.23,1.24,0.28,8.89,0.06,0.06,7.31,7.43,0.57,0.34
JESPER BOQVIST,,R,27.6,FLA,73,147.2,10.23,2.98,1.12,134.22,10.31,2.73,1.09,5.72,10.2,0.72,0.56,7.26,8.97,0.61,0.37
NICK BLANKENBURG,,D,28.1,COL,61,147.08,8.61,3.27,1.36,123.88,8.67,2.95,1.2,12.96,8.99,0.64,0.45,10.25,7.62,0.58,0.37
SAM RINZEL,,D,21.9,CHI,54,146.94,8.93,3.83,1.52,129.16,8.95,3.41,1.35,16.31,8.88,1.02,0.7,1.47,8.04,0.55,0.27
LOGAN COOLEY,,C,22.1,UTA,54,146.5,9.39,3.56,1.39,124.1,9.66,3.05,1.16,18.04,7.94,0.97,0.49,4.35,9.21,0.41,0.32
JASON ZUCKER,,L,34.4,BUF,62,146.03,9.05,3.12,1.21,120.65,9.53,2.89,1.1,25.34,7.3,0.87,0.51,0.04,10.23,0.03,0.03
JEFF PETRY,,D,38.5,MIN,67,145.75,8.84,3.36,1.22,132.82,8.91,2.72,1.12,6.92,9.28,0.71,0.56,6.01,7.25,0.4,0.25
BERKLY CATTON,,L,20.4,SEA,66,145.33,10.21,3.4,1.45,135.82,10.22,3.32,1.33,9.49,10.11,0.73,0.52,0.01,0,0.01,0.01
TYLER TUCKER,,D,26.3,STL,69,144.94,8.78,3.02,1.19,136.26,8.95,2.94,1.11,0.39,9.82,0.23,0.23,8.29,6.62,0.36,0.24
JONATHAN ASPIROT,,D,27.1,BOS,61,144.37,8.48,3.12,1.36,136.41,8.6,2.96,1.36,0.25,11.13,0.07,0.07,7.71,6.85,0.4,0.27
DREW HELLESON,,D,25.2,ANA,60,143.6,8.46,3.13,1.26,132.7,8.62,3.1,1.19,0.86,10.17,0.24,0.24,10.04,6.76,0.62,0.38
TYSON JOST,,R,28.2,NSH,69,142.87,10.01,3.08,1.18,129.1,10.2,2.72,1.15,0.23,8.08,0.1,0.1,13.54,8.52,0.69,0.38
SPENCER STASTNEY,,D,26.4,EDM,66,142.44,8.35,2.87,1.23,130.7,8.49,2.64,1.11,0.5,8.07,0.13,0.13,11.24,7.06,0.46,0.32
BARCLAY GOODROW,,L,33.3,S.J,82,142.41,9.18,2.67,0.95,120.12,9.38,2.26,0.9,0.79,10.39,0.16,0.16,21.5,8.18,0.73,0.45
BRADY TKACHUK,,L,26.7,OTT,60,141.95,8.37,2.9,1.25,121.16,8.9,2.6,1.21,20.26,6.18,0.93,0.58,0.53,7.21,0.21,0.21
KAAPO KAKKO,,R,25.3,SEA,65,141.85,9.18,2.73,1.24,128.18,9.24,2.73,1.06,13.61,8.66,0.53,0.42,0.05,7.2,0.05,0.05
JAKE WALMAN,,D,30.3,EDM,53,141.62,8.55,3.47,1.31,129.95,8.62,3.25,1.25,5.61,9.05,0.84,0.45,6.06,6.96,0.4,0.27
BRANDON CARLO,,D,29.5,TOR,55,141.32,7.96,3.21,1.28,124.23,8.22,3.21,1.19,0.17,7.08,0.04,0.04,16.92,6.46,0.79,0.49
FEDOR SVECHKOV,,C,23.2,NSH,70,141.29,10.03,2.75,1.28,134.55,10.06,2.65,1.28,3.11,10.29,0.49,0.24,3.64,8.78,0.39,0.29
BRENDAN GALLAGHER,,R,34.1,MTL,77,141.2,8.91,2.33,0.97,128.78,9.13,2.24,0.97,12.4,7.1,0.66,0.41,0.02,8.54,0.01,0.01
JONATHAN HUBERDEAU,,L,33.0,CGY,50,141.09,9.34,3.41,1.34,116.36,9.82,2.92,1.18,17.64,7.27,0.81,0.51,7.08,8.54,0.54,0.35
BRETT HOWDEN,,L,28.2,VGK,58,141.02,9.79,3.09,1.16,126,9.87,2.77,1.14,5.85,9.34,0.46,0.27,9.16,9.18,0.48,0.41
NOAH OSTLUND,,C,22.2,BUF,60,140.5,10.06,3.05,1.31,128.16,10.18,2.86,1.31,11.81,8.87,0.77,0.6,0.53,11.25,0.11,0.11
ADAM KLAPKA,,R,25.7,CGY,79,140.3,10.02,2.65,1.11,135.63,10.1,2.65,1.11,4.64,8.22,0.57,0.25,0,0,0.02,0.02
MASON APPLETON,,R,30.4,DET,65,139.6,9.53,2.86,1.24,127.95,9.68,2.78,1.16,0.85,10.46,0.09,0.08,10.81,8.01,0.53,0.32
PAUL COTTER,,L,26.5,N.J,79,139.52,9.92,2.72,1.25,137.24,9.94,2.56,1.25,2.11,9.37,0.44,0.41,0.17,7.64,0.05,0.05
ADAM HENRIQUE,,C,36.3,EDM,65,139.45,9.73,2.89,1.25,117.8,9.91,2.62,1.06,5.83,8.86,0.5,0.27,15.83,8.82,0.78,0.36
CALUM RITCHIE,,R,21.4,NYI,65,139.39,9.56,2.83,1.32,122.52,9.92,2.55,1.32,16.87,7.56,0.81,0.47,0,0,0,0
OSKAR BACK,,C,26.2,DAL,72,138.92,9.37,2.64,1.06,114.96,9.55,2.47,0.9,0.27,9.87,0.04,0.04,23.69,8.58,0.7,0.5
COREY PERRY,,R,41.1,T.B,72,138.68,8.45,2.65,1.17,121.67,8.94,2.54,1.17,17,6.09,0.67,0.45,0.02,5.47,0.02,0.02
IAN MOORE,,D,24.4,ANA,67,138.19,9.05,3.13,1.28,132.44,9.09,3.01,1.28,0.66,11.45,0.17,0.17,5.09,8.08,0.47,0.38
RYAN WINTERTON,,R,22.7,SEA,68,137.86,10.15,2.59,1.05,127.97,10.28,2.48,1,0,0,0.11,0.1,9.38,8.63,0.5,0.36
NOEL ACCIARI,,R,34.5,PIT,67,137.83,9,2.7,1.09,116.29,9.42,2.65,1.03,0.48,5.96,0.11,0.11,21.06,7.3,0.9,0.59
